Церемония	Актриса	Фильм(ы)	Роль
34-я	Пайпер Лори	Мошенник	Сара Паккард
34-я	Джеральдин Пейдж	Лето и дым	Алма Уайнмиллер
34-я	Натали Вуд	Великолепие в траве	Уилма Дин «Дини» Лумис
35-я	Энн Бэнкрофт	Сотворившая чудо	Энн Салливан
35-я	Бетт Дейвис	Что случилось с Бэби Джейн?	Бэби Джейн Хадсон
35-я	Кэтрин Хепбёрн	Долгий день уходит в ночь	Мэри Тайрон
35-я	Джеральдин Пейдж	Сладкоголосая птица юности	Александра Дель Лаго
35-я	Ли Ремик	Дни вина и роз	Кирстен Арнесен Клэй
36-я	Патриция Нил	Хад	Альма Браун
36-я	Лесли Карон	Угловая комната	Джейн Фоссет
36-я	Ширли Маклейн	Нежная Ирма	Ирма
36-я	Рейчел Робертс	Такова спортивная жизнь	миссис Маргарет Хэммонд
36-я	Натали Вуд	Любовь с подходящим незнакомцем	Энджи Россини
37-я	Джули Эндрюс	Мэри Поппинс	Мэри Поппинс
37-я	Энн Бэнкрофт	Пожиратель тыкв	Джо Армитаж
37-я	Софи Лорен	Брак по-итальянски	Филумена Мартурано
37-я	Дебби Рейнольдс	Непотопляемая Молли Браун	Молли Браун
37-я	Ким Стэнли	Сеанс дождливым вечером	Майра Сэвэдж
38-я	Джули Кристи	Дорогая	Диана Скотт
38-я	Джули Эндрюс	Звуки музыки	Мария
38-я	Саманта Эггар	Коллекционер	Миранда Грей
38-я	Элизабет Хартман	Клочок синевы	Селина Д’Арси
38-я	Симона Синьоре	Корабль дураков	графиня
39-я	Элизабет Тейлор	Кто боится Вирджинии Вулф?	Марта
39-я	Анук Эме	Мужчина и женщина	Анна Готье
39-я	Ида Каминска	Магазин на площади	Розалия Лаутманнова
39-я	Линн Редгрейв	Девушка Джорджи	Джорджи Паркин
39-я	Ванесса Редгрейв	Морган: Подходящий случай для терапии	Леони Делт
40-я	Кэтрин Хепбёрн	Угадай, кто придёт к обеду?	Кристина Дрейтон
40-я	Энн Бэнкрофт	Выпускник	миссис Робинсон
40-я	Фэй Данауэй	Бонни и Клайд	Бонни Паркер
40-я	Эдит Эванс	Шептуны	Мэгги Росс
40-я	Одри Хепбёрн	Дождись темноты	Сьюзи Хендрикс
41-я	Кэтрин Хепбёрн	Лев зимой	Алиенора Аквитанская
41-я	Барбра Стрейзанд	Смешная девчонка	Фанни Брайс
41-я	Патриция Нил	Если бы не розы	Нетти Клири
41-я	Ванесса Редгрейв	Айседора	Айседора Дункан
41-я	Джоан Вудворд	Рэйчел, Рэйчел	Рэйчел Кэмерон
42-я	Мэгги Смит	Расцвет мисс Джин Броди	мисс Джин Броди
42-я	Женевьева Бюжо	Тысяча дней Анны	Анна Болейн
42-я	Джейн Фонда	Загнанных лошадей пристреливают, не правда ли?	Глория Битти
42-я	Лайза Миннелли	Бесплодная кукушка	Мэри Энн «Пуки» Адамс
42-я	Джин Симмонс	Счастливый конец	Мэри Уилсон
43-я	Гленда Джексон	Влюблённые женщины	Гудрун Бренгвен
43-я	Джейн Александер	Большая белая надежда	Элеанор Бэкман
43-я	Эли Макгроу	История любви	Дженнифер Каваллери
43-я	Сара Майлз	Дочь Райана	Рози Райан
43-я	Кэрри Снодгресс	Дневник безумной домохозяйки	Тина Балсер
44-я	Джейн Фонда	Клют	Бри Дэниелс
44-я	Джули Кристи	Маккейб и миссис Миллер	Констанс Миллер
44-я	Гленда Джексон	Воскресенье, проклятое воскресенье	Алекс Грэвилл
